film,chapter,location,detailed_location,character,race,words
The Return Of The King,29: Marshalling At Dunharrow,Rohan,Dunharrow,Theoden,Men,24
The Return Of The King,30: Anduril - Flame Of The West,Rohan,Dunharrow,Aragorn,Men,54
The Return Of The King,30: Anduril - Flame Of The West,Voiceover,Unknown,Arwen,Elf,15
The Return Of The King,30: Anduril - Flame Of The West,Rohan,Dunharrow,Elrond,Elf,168
The Return Of The King,30: Anduril - Flame Of The West,Rohan,Dunharrow,Rohan Warrior,Men,7
The Return Of The King,30: Anduril - Flame Of The West,Rohan,Dunharrow,Theoden,Men,4
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Rohan,Dunharrow,Aragorn,Men,42
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Rohan,Dunharrow,Eowyn,Men,32
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Rohan,Dunharrow,Gamling,Men,18
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Rohan,Dunharrow,Gimli,Dwarf,20
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Rohan,Dunharrow,Legolas,Elf,9
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Rohan,Dunharrow,Rohan Warrior,Men,20
The Return Of The King,31: Aragorn Takes The Paths Of The Dead,Rohan,Dunharrow,Theoden,Men,16
The Return Of The King,32: No More Despair,Rohan,Dunharrow,Eowyn,Men,10
The Return Of The King,32: No More Despair,Rohan,Dunharrow,Theoden,Men,60
The Return Of The King,33: Dwimoberg - The Haunted Mountain,Rohan,Dimholt Glen,Aragorn,Men,6
The Return Of The King,33: Dwimoberg - The Haunted Mountain,Rohan,Dimholt Glen,Gimli,Dwarf,45
The Return Of The King,33: Dwimoberg - The Haunted Mountain,Rohan,Dimholt Glen,Legolas,Elf,123
The Return Of The King,34: The Muster Of Rohan,Rohan,Dunharrow,Eomer,Men,8
The Return Of The King,34: The Muster Of Rohan,Rohan,Dunharrow,Eowyn,Men,3
The Return Of The King,34: The Muster Of Rohan,Rohan,Dunharrow,Merry,Hobbit,21
The Return Of The King,34: The Muster Of Rohan,Rohan,Dunharrow,Theoden,Men,63
The Return Of The King,35: The Paths Of The Dead,Rohan,Paths of the Dead,Aragorn,Men,75
The Return Of The King,35: The Paths Of The Dead,Rohan,Paths of the Dead,Gimli,Dwarf,43
The Return Of The King,35: The Paths Of The Dead,Rohan,Paths of the Dead,King Of The Dead,Dead,53
The Return Of The King,35: The Paths Of The Dead,Rohan,Paths of the Dead,Legolas,Elf,32
The Return Of The King,36: The Siege Of Gondor,Gondor,Minas Tirith,Denethor,Men,40
The Return Of The King,36: The Siege Of Gondor,Gondor,Minas Tirith,Gandalf,Ainur,81
The Return Of The King,36: The Siege Of Gondor,Gondor,Minas Tirith,Gondor Man,Men,19
The Return Of The King,36: The Siege Of Gondor,Gondor,Pelennor Field,Gothmog,Orc,46
The Return Of The King,36: The Siege Of Gondor,Gondor,Minas Tirith,Irolas,Men,7
The Return Of The King,36: The Siege Of Gondor,Gondor,Pelennor Field,Orc,Orc,25
The Return Of The King,36: The Siege Of Gondor,Gondor,Minas Tirith,Pippin,Hobbit,15
The Return Of The King,37: The Corsairs Of Umbar,Gondor,Unknown,Aragorn,Men,21
The Return Of The King,37: The Corsairs Of Umbar,Gondor,Unknown,Boson,Men,7
The Return Of The King,37: The Corsairs Of Umbar,Gondor,Unknown,Gimli,Dwarf,14
The Return Of The King,37: The Corsairs Of Umbar,Gondor,Unknown,Mercenary,Men,6
The Return Of The King,38: Shelob's Lair,Mordor,Cirith Ungol,Frodo,Hobbit,60
The Return Of The King,38: Shelob's Lair,Voiceover,Unknown,Galadriel,Elf,51
The Return Of The King,38: Shelob's Lair,Mordor,Cirith Ungol,Gollum,Gollum,64
The Return Of The King,38: Shelob's Lair,Mordor,Cirith Ungol,Sam,Hobbit,1
The Return Of The King,38: Shelob's Lair,Mordor,Cirith Ungol,Smeagol,Gollum,26
The Return Of The King,39: Merry's Simple Courage,Gondor,Unknown,Eomer,Men,22
The Return Of The King,39: Merry's Simple Courage,Gondor,Unknown,Eowyn,Men,10
The Return Of The King,39: Merry's Simple Courage,Gondor,Unknown,Merry,Hobbit,83
The Return Of The King,39: Merry's Simple Courage,Gondor,Unknown,Theoden,Men,13
The Return Of The King,40: Grond - The Hammer Of The Underworld,Gondor,Minas Tirith,Gandalf,Ainur,5
The Return Of The King,41: The Tomb Of The Stewards,Gondor,Minas Tirith,Denethor,Men,68
The Return Of The King,42: Breaking The Gate Of Gondor,Gondor,Minas Tirith,Gandalf,Ainur,21
The Return Of The King,43: The Choices Of Master Samwise Gamgee,Mordor,Cirith Ungol,Orc,Orc,15
The Return Of The King,43: The Choices Of Master Samwise Gamgee,Mordor,Cirith Ungol,Sam,Hobbit,48
The Return Of The King,43: The Choices Of Master Samwise Gamgee,Mordor,Cirith Ungol,Shagrat,Orc,55
The Return Of The King,44: Denethor's Madness,Gondor,Minas Tirith,Denethor,Men,36
The Return Of The King,44: Denethor's Madness,Gondor,Minas Tirith,Gondor Man,Men,10
The Return Of The King,44: Denethor's Madness,Gondor,Minas Tirith,Pippin,Hobbit,17
The Return Of The King,45: The Witch King's Hour,Gondor,Minas Tirith,Gandalf,Ainur,48
The Return Of The King,45: The Witch King's Hour,Gondor,Minas Tirith,Gondor Man,Men,7
The Return Of The King,45: The Witch King's Hour,Gondor,Minas Tirith,Gothmog,Orc,9
The Return Of The King,45: The Witch King's Hour,Gondor,Minas Tirith,Pippin,Hobbit,13
The Return Of The King,45: The Witch King's Hour,Gondor,Minas Tirith,Witch King,Nazgul,24
The Return Of The King,46: The Ride Of The Rohirrim,Gondor,Pelennor Field,Eomer,Men,2
The Return Of The King,46: The Ride Of The Rohirrim,Gondor,Pelennor Field,Eowyn,Men,17
The Return Of The King,46: The Ride Of The Rohirrim,Gondor,Pelennor Field,Gothmog,Orc,15
The Return Of The King,46: The Ride Of The Rohirrim,Gondor,Pelennor Field,Merry,Hobbit,2
The Return Of The King,46: The Ride Of The Rohirrim,Gondor,Pelennor Field,Theoden,Men,71
The Return Of The King,47: The Pyre Of Denethor,Gondor,Minas Tirith,Denethor,Men,42
The Return Of The King,47: The Pyre Of Denethor,Gondor,Minas Tirith,Gandalf,Ainur,9
The Return Of The King,47: The Pyre Of Denethor,Gondor,Minas Tirith,Pippin,Hobbit,2
The Return Of The King,48: The Battle Of The Pelennor Fields,Gondor,Pelennor Field,Eomer,Men,9
The Return Of The King,48: The Battle Of The Pelennor Fields,Gondor,Pelennor Field,Eowyn,Men,8
The Return Of The King,48: The Battle Of The Pelennor Fields,Gondor,Pelennor Field,Rohan Warrior,Men,3
The Return Of The King,48: The Battle Of The Pelennor Fields,Gondor,Pelennor Field,Theoden,Men,26
The Return Of The King,49: A Far Green Country,Gondor,Minas Tirith,Gandalf,Ainur,54
The Return Of The King,49: A Far Green Country,Gondor,Minas Tirith,Pippin,Hobbit,17
The Return Of The King,50: The Nazgul And His Prey,Gondor,Pelennor Field,Eowyn,Men,8
The Return Of The King,50: The Nazgul And His Prey,Gondor,Pelennor Field,Theoden,Men,5
The Return Of The King,50: The Nazgul And His Prey,Gondor,Pelennor Field,Witch King,Nazgul,13
The Return Of The King,51: The Black Ships,Gondor,Pelennor Field,Gimli,Dwarf,12
The Return Of The King,51: The Black Ships,Gondor,Pelennor Field,Orc,Orc,19
The Return Of The King,52: Shieldmaiden Of Rohan,Gondor,Pelennor Field,Eowyn,Men,4
The Return Of The King,52: Shieldmaiden Of Rohan,Gondor,Pelennor Field,Witch King,Nazgul,9
The Return Of The King,53: Victory At Minas Tirith,Gondor,Pelennor Field,Aragorn,Men,1
The Return Of The King,53: Victory At Minas Tirith,Gondor,Pelennor Field,Eowyn,Men,1
The Return Of The King,53: Victory At Minas Tirith,Gondor,Pelennor Field,Gimli,Dwarf,6
The Return Of The King,53: Victory At Minas Tirith,Gondor,Pelennor Field,Legolas,Elf,6
The Return Of The King,53: Victory At Minas Tirith,Gondor,Pelennor Field,Orc,Orc,5
The Return Of The King,54: The Passing Of Theoden,Gondor,Pelennor Field,Eowyn,Men,8
The Return Of The King,54: The Passing Of Theoden,Gondor,Pelennor Field,Theoden,Men,38
The Return Of The King,55: Oaths Fulfilled,Gondor,Pelennor Field,Aragorn,Men,9
The Return Of The King,55: Oaths Fulfilled,Gondor,Pelennor Field,Gimli,Dwarf,15
The Return Of The King,55: Oaths Fulfilled,Gondor,Pelennor Field,King Of The Dead,Dead,7
The Return Of The King,56: The Houses Of Healing,Gondor,Pelennor Field,Eomer,Men,3
The Return Of The King,56: The Houses Of Healing,Gondor,Pelennor Field,Pippin,Hobbit,1
The Return Of The King,57: Pippin Looks After Merry,Gondor,Pelennor Field,Merry,Hobbit,11
The Return Of The King,57: Pippin Looks After Merry,Gondor,Pelennor Field,Pippin,Hobbit,16
The Return Of The King,58: The Tower Of Cirith Ungol,Mordor,Cirith Ungol,Frodo,Hobbit,64
The Return Of The King,58: The Tower Of Cirith Ungol,Mordor,Cirith Ungol,Grobag,Orc,23
The Return Of The King,58: The Tower Of Cirith Ungol,Mordor,Cirith Ungol,Sam,Hobbit,96
The Return Of The King,58: The Tower Of Cirith Ungol,Mordor,Cirith Ungol,Shagrat,Orc,35
The Return Of The King,59: The Last Debate,Gondor,Minas Tirith,Aragorn,Men,82
The Return Of The King,59: The Last Debate,Gondor,Minas Tirith,Eomer,Men,8
The Return Of The King,59: The Last Debate,Gondor,Minas Tirith,Gandalf,Ainur,59
The Return Of The King,59: The Last Debate,Gondor,Minas Tirith,Gimli,Dwarf,24
The Return Of The King,59: The Last Debate,Gondor,Minas Tirith,Legolas,Elf,2
The Return Of The King,60: Aragorn Masters The Palantir,Gondor,Minas Tirith,Aragorn,Men,17
The Return Of The King,61: The Captain And The White Lady,Gondor,Minas Tirith,Eowyn,Men,17
The Return Of The King,61: The Captain And The White Lady,Gondor,Minas Tirith,Faramir,Men,17
The Return Of The King,62: In The Company Of Orcs,Mordor,Plains of Gorgoroth,Frodo,Hobbit,16
The Return Of The King,62: In The Company Of Orcs,Mordor,Plains of Gorgoroth,Orc,Orc,104
The Return Of The King,62: In The Company Of Orcs,Mordor,Plains of Gorgoroth,Sam,Hobbit,46
The Return Of The King,63: The Land Of Shadow,Mordor,Plains of Gorgoroth,Frodo,Hobbit,30
The Return Of The King,63: The Land Of Shadow,Mordor,Plains of Gorgoroth,Sam,Hobbit,56
The Return Of The King,64: The Mouth Of Sauron,Mordor,The Black Gate,Aragorn,Men,23
The Return Of The King,64: The Mouth Of Sauron,Mordor,The Black Gate,Gandalf,Ainur,32
The Return Of The King,64: The Mouth Of Sauron,Mordor,The Black Gate,Gimli,Dwarf,5
The Return Of The King,64: The Mouth Of Sauron,Mordor,The Black Gate,Merry,Hobbit,1
The Return Of The King,64: The Mouth Of Sauron,Mordor,The Black Gate,Mouth Of Sauron,Orc,87
The Return Of The King,64: The Mouth Of Sauron,Mordor,The Black Gate,Pippin,Hobbit,5
The Return Of The King,65: The Black Gate Opens,Mordor,The Black Gate,Aragorn,Men,103
The Return Of The King,65: The Black Gate Opens,Mordor,The Black Gate,Gimli,Dwarf,16
The Return Of The King,65: The Black Gate Opens,Mordor,The Black Gate,Legolas,Elf,8
The Return Of The King,65: The Black Gate Opens,Mordor,The Black Gate,Sam,Hobbit,16
The Return Of The King,66: I Can't Carry It For You - But I Can Carry You,Mordor,Mount Doom,Frodo,Hobbit,44
The Return Of The King,66: I Can't Carry It For You - But I Can Carry You,Mordor,Mount Doom,Sam,Hobbit,85
The Return Of The King,67: The Last Move,Mordor,The Black Gate,Aragorn,Men,2
The Return Of The King,67: The Last Move,Mordor,The Black Gate,Voice Of Sauron,Ainur,2
The Return Of The King,68: Mount Doom,Mordor,Mount Doom,Frodo,Hobbit,9
The Return Of The King,68: Mount Doom,Mordor,Mount Doom,Gollum,Gollum,17
The Return Of The King,68: Mount Doom,Mordor,Mount Doom,Sam,Hobbit,10
The Return Of The King,69: The Eagles Are Coming,Mordor,The Black Gate,Pippin,Hobbit,6
The Return Of The King,70: The Crack Of Doom,Mordor,Mount Doom,Frodo,Hobbit,7
The Return Of The King,70: The Crack Of Doom,Mordor,Mount Doom,Gollum,Gollum,5
The Return Of The King,70: The Crack Of Doom,Mordor,Mount Doom,Sam,Hobbit,38
The Return Of The King,71: Sauron Defeated,Mordor,The Black Gate,Merry,Hobbit,2
The Return Of The King,71: Sauron Defeated,Mordor,The Black Gate,Pippin,Hobbit,1
The Return Of The King,72: The End Of All Things,Mordor,Mount Doom,Frodo,Hobbit,37
The Return Of The King,72: The End Of All Things,Mordor,Mount Doom,Sam,Hobbit,31
The Return Of The King,73: The Fellowship Reunited,Gondor,Minas Tirith,Frodo,Hobbit,4
The Return Of The King,73: The Fellowship Reunited,Gondor,Minas Tirith,Gimli,Dwarf,1
The Return Of The King,73: The Fellowship Reunited,Gondor,Minas Tirith,Merry,Hobbit,1
The Return Of The King,74: The Return Of The King,Gondor,Minas Tirith,Aragorn,Men,45
The Return Of The King,74: The Return Of The King,Gondor,Minas Tirith,Gandalf,Ainur,11
The Return Of The King,75: Homeward Bound,The Shire,Hobbiton,Frodo,Hobbit,98
The Return Of The King,75: Homeward Bound,The Shire,Hobbiton,Hobbits,Hobbit,4
The Return Of The King,75: Homeward Bound,The Shire,Hobbiton,Pippin,Hobbit,2
The Return Of The King,75: Homeward Bound,The Shire,Hobbiton,Rosie,Hobbit,2
The Return Of The King,75: Homeward Bound,The Shire,Hobbiton,Sam,Hobbit,27
The Return Of The King,76: The Grey Havens,The Shire,Unknown,Bilbo,Hobbit,36
The Return Of The King,76: The Grey Havens,The Shire,Unknown,Frodo,Hobbit,70
The Return Of The King,76: The Grey Havens,The Shire,The Grey Havens,Bilbo,Hobbit,20
The Return Of The King,76: The Grey Havens,The Shire,The Grey Havens,Elrond,Elf,6
The Return Of The King,76: The Grey Havens,The Shire,The Grey Havens,Frodo,Hobbit,62
The Return Of The King,76: The Grey Havens,The Shire,The Grey Havens,Galadriel,Elf,17
The Return Of The King,76: The Grey Havens,The Shire,The Grey Havens,Gandalf,Ainur,42
The Return Of The King,76: The Grey Havens,The Shire,The Grey Havens,Sam,Hobbit,10
The Return Of The King,76: The Grey Havens,The Shire,Hobbiton,Sam,Hobbit,4
